time,id,mA,V,W
0.019,B,138.320,4.060,0.562
0.038,B,192.600,4.080,0.786
0.058,B,189.920,4.080,0.775
0.078,B,197.720,4.070,0.805
0.098,B,187.120,4.080,0.763
0.118,B,181.520,4.080,0.741
0.136,B,181.200,4.080,0.739
0.157,B,181.720,4.080,0.741
0.176,B,188.320,4.080,0.768
0.197,B,181.120,4.090,0.741
0.217,B,181.520,4.080,0.741
0.234,B,180.920,4.080,0.738
0.255,B,181.600,4.090,0.743
0.274,B,187.600,4.080,0.765
0.295,B,192.920,4.090,0.789
0.315,B,184.720,4.090,0.756
0.333,B,187.920,4.090,0.769
0.353,B,181.720,4.090,0.743
0.373,B,181.200,4.090,0.741
0.393,B,193.800,4.080,0.791
0.414,B,180.720,4.080,0.737
0.433,B,180.720,4.080,0.737
0.452,B,180.520,4.080,0.737
0.472,B,180.720,4.080,0.737
0.491,B,194.720,4.090,0.796
0.512,B,185.200,4.080,0.756
0.531,B,182.000,4.090,0.744
0.550,B,181.400,4.080,0.740
0.570,B,177.000,4.090,0.724
0.591,B,183.800,4.080,0.750
0.610,B,176.520,4.080,0.720
0.630,B,177.000,4.080,0.722
0.648,B,193.920,4.080,0.791
0.669,B,186.200,4.080,0.760
0.689,B,192.920,4.080,0.787
0.708,B,181.520,4.090,0.742
0.729,B,177.000,4.080,0.722
0.746,B,182.400,4.080,0.744
0.767,B,182.120,4.090,0.745
0.786,B,186.520,4.090,0.763
0.807,B,177.120,4.090,0.724
0.827,B,176.920,4.080,0.722
0.845,B,177.120,4.080,0.723
0.865,B,176.920,4.090,0.724
0.885,B,177.120,4.090,0.724
0.905,B,182.920,4.080,0.746
0.926,B,176.800,4.080,0.721
0.945,B,177.320,4.090,0.725
0.963,B,176.800,4.090,0.723
0.983,B,177.320,4.090,0.725
1.003,B,184.320,4.090,0.754
1.024,B,273.600,4.070,1.114
1.043,B,363.720,4.040,1.469
1.062,B,363.520,4.050,1.472
1.082,B,383.400,4.070,1.560
1.102,B,357.120,4.070,1.453
1.122,B,343.200,4.070,1.397
1.142,B,338.320,4.070,1.377
1.160,B,424.000,4.030,1.709
1.180,B,490.800,4.050,1.988
1.200,B,489.120,4.050,1.981
1.220,B,482.720,4.050,1.955
1.241,B,485.520,4.050,1.966
1.259,B,484.520,4.050,1.962
1.279,B,479.520,4.050,1.942
1.299,B,484.920,4.050,1.964
1.319,B,487.120,4.050,1.973
1.339,B,483.720,4.050,1.959
