machine,utime,sURI,path,file,date,ffversion,endTime,kwatthours,kwh,max,mean,min,seconds,startTime,std,sum,type,var
"reptile",1328806810,"vuze-26799.jar","/home/abez/green-results/reptile-1328806810-vuze-26799.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328807452,0.0038,0.00401778533635675,24.5,23.9074829931972,21.6,605,1328806847,0.201979449899606,14057.6,wattageSummary,0.0407956981817475
"reptile",1328652651,"vuze-26730.jar","/home/abez/green-results/reptile-1328652651-vuze-26730.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328653297,0.004,0.00401587643518519,24.7,24.0551666666667,21.4,601,1328652696,0.345116136203999,14433.1,wattageSummary,0.119105147468377
"reptile",1328653320,"vuze-26731.jar","/home/abez/green-results/reptile-1328653320-vuze-26731.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328653962,0.0039,0.00398983310185182,24.7,23.8991666666665,21.5,601,1328653361,0.290384533901283,14339.4999999999,wattageSummary,0.0843231775290652
"reptile",1328653985,"vuze-26732.jar","/home/abez/green-results/reptile-1328653985-vuze-26732.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328654633,0.004,0.00400504714364948,25.1,24.0302828618969,21.8,600,1328654033,0.364666175910738,14442.2,wattageSummary,0.132981419853362
"reptile",1328654654,"vuze-26734.jar","/home/abez/green-results/reptile-1328654654-vuze-26734.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328655297,0.0039,0.00397078763888886,24.8,23.8644999999998,21.4,599,1328654698,0.339974098017496,14318.6999999999,wattageSummary,0.11558238732281
"reptile",1328655320,"vuze-26735.jar","/home/abez/green-results/reptile-1328655320-vuze-26735.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328655666,0.0018,0.00193741867228239,25.0,24.1339350180505,21.7,289,1328655377,0.448673612167551,6685.1,wattageSummary,0.201308010255478
"reptile",1328655997,"vuze-26737.jar","/home/abez/green-results/reptile-1328655997-vuze-26737.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328656638,0.004,0.00398940654464779,24.7,23.9364392678868,21.4,600,1328656038,0.322107590815739,14385.7999999999,wattageSummary,0.10375330006112
"reptile",1328656659,"vuze-26738.jar","/home/abez/green-results/reptile-1328656659-vuze-26738.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328657306,0.004,0.00399666111111111,25.0,24.02,21.7,599,1328656707,0.358721528803409,14412,wattageSummary,0.128681135227055
"reptile",1328657328,"vuze-26744.jar","/home/abez/green-results/reptile-1328657328-vuze-26744.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328657901,0.0035,0.00352722594339621,24.7,23.913396226415,21.5,531,1328657370,0.335078600932958,12674.0999999999,wattageSummary,0.112277668803188
"reptile",1328657989,"vuze-26745.jar","/home/abez/green-results/reptile-1328657989-vuze-26745.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328658631,0.004,0.00399477537037037,25.0,24.0086666666667,21.7,599,1328658032,0.384714045819293,14405.2,wattageSummary,0.148004897050649
"reptile",1328658652,"vuze-26747.jar","/home/abez/green-results/reptile-1328658652-vuze-26747.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328659292,0.0039,0.00398746533555186,24.7,23.9247920133111,21.5,600,1328658692,0.328432131503551,14378.8,wattageSummary,0.107867665003966
"reptile",1328659313,"vuze-26748.jar","/home/abez/green-results/reptile-1328659313-vuze-26748.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328659958,0.004,0.00400061009428729,24.9,24.0036605657238,21.8,600,1328659358,0.368220827667765,14426.2,wattageSummary,0.135586577928334
"reptile",1328659978,"vuze-26750.jar","/home/abez/green-results/reptile-1328659978-vuze-26750.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328660621,0.0026,0.00399238172966781,24.6,23.9144329896907,21.5,601,1328660020,0.324179788219822,13918.2,wattageSummary,0.105092535090249
"reptile",1328660642,"vuze-26751.jar","/home/abez/green-results/reptile-1328660642-vuze-26751.jar/green-logger.txt.gz","green-logger.txt.gz","","",1328661283,0.0039,0.00396909601851853,24.9,23.8543333333334,21.7,599,1328660684,0.368022131627499,14312.6000000001,wattageSummary,0.135440289367648
